Polluted element,Type of pollution,Florida_Boston_2021,Florida_Tampa_2020,Massachusetts_Fort Lauderdale_2017,Massachusetts_Lenox_2020,Average
Air,,-17.65,-11.28,-64.46,18.68,-18.68
,  Groundwater,49.09,-32.44,-59.61,26.38,-4.14
,  Inorganic Fertilizers,-82.61,-36.28,-70.41,12.96,-44.09
,  Thermal,-19.44,34.87,-63.36,16.70,-7.81
Soil,,-81.16,14.07,22.13,-0.14,-11.28
,  Noise,-83.57,-26.98,67.08,-46.98,-22.61
,  Surface water,-78.73,-24.13,69.05,30.29,-0.88
,  Urban Activities,-81.18,93.31,-69.75,16.27,-10.34
Water,,5.78,37.26,24.84,-39.53,7.09
,  Chemical,51.28,-23.84,71.33,-97.81,0.24
,  Light,46.88,40.78,70.21,-45.52,28.09
,  Oxygen-depletion,-80.81,94.83,-67.02,24.75,-7.06
Average,,-31.01,13.35,-5.83,-6.99,-7.62
,  ,-31.01,13.35,-5.83,-6.99,-7.62
