Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q4,October,8.23
Production,Workshop,Q2,December,14.74
Production,Workshop,Q3,April,15.85
Production,Workshop,Q4,June,16.6
Production,Workshop,Q2,August,18.91
Production,Workshop,Q3,September,19.91
Service,Factory,Q4,October,27.73
Service,Factory,Q2,December,31.42
Service,Factory,Q3,April,38.6
Service,Factory,Q4,June,41.72
Service,Factory,Q2,August,53.88
Service,Factory,Q3,September,55.65
Production,Hospital,Q4,October,60.71
Production,Hospital,Q2,December,68.18
Production,Hospital,Q3,April,70.74
Production,Hospital,Q4,June,72.62
Production,Hospital,Q2,August,76.42
Production,Hospital,Q3,September,76.13
Service,Library,Q4,October,89.6
Service,Library,Q2,December,91.93
Service,Library,Q3,April,93.13
Service,Library,Q4,June,93.85
Service,Library,Q2,August,96.83
Service,Library,Q3,September,99.43
