Polluted element,Type of pollution,Michigan_Detroit_2017,Michigan_Minneapolis_2017,Michigan_Port Huron_2020,Minnesota_Flint_2019,Minnesota_Hastings_2019,Minnesota_Rochester_2021
Average,,13.87,29.09,-35.79,-28.66,0.67,28.84
,  ,13.87,29.09,-35.79,-28.66,0.67,28.84
Air,,11.03,-1.01,-37.04,-11.59,23.34,68.85
,  Chemical,10.95,-44.04,-80.03,-96.63,-19.64,69.37
,  Industrial,19.80,89.28,53.01,36.02,-5.94,74.37
,  Thermal,2.34,-48.26,-84.09,25.83,95.60,62.81
Soil,,17.70,2.97,10.36,-64.09,-5.02,-11.50
,  Light,25.34,-34.27,60.50,-86.71,-1.58,79.75
,  Oxygen-depletion,8.17,-45.74,46.96,-99.11,-6.49,-59.50
,  Solid Waste,19.60,88.93,-76.38,-6.44,-6.99,-54.75
Water,,12.87,85.30,-80.69,-10.29,-16.30,29.17
,  Inorganic Fertilizers,11.80,85.16,-80.72,-94.24,-12.59,70.27
,  Light,3.04,81.18,-84.49,25.22,-32.45,-60.76
,  Thermal,23.78,89.57,-76.87,38.16,-3.86,78.01
