Polluted element,Type of pollution,California_Berkeley,California_Portland,Florida_Fort Lauderdale,Florida_Redmond,Oregon_Malibu,Oregon_Salem,Oregon_Tampa,Average
Air,Inferior Irrigation,-52.48,62.52,-85.10,40.99,-18.21,15.38,87.39,7.21
,Light,-44.47,67.11,-77.58,45.62,-12.70,21.93,91.28,13.03
,Oxygen-depletion,-59.29,52.14,-86.84,32.04,-28.69,10.43,80.68,0.07
,Surface water,-57.07,62.67,-82.41,38.44,-22.42,13.08,85.67,5.42
Soil,Chemical,-57.98,59.34,-84.70,30.99,-27.12,13.58,82.53,2.38
,Inorganic Fertilizers,-62.87,55.68,-93.51,31.32,-30.33,5.61,76.81,-2.47
,Solid Waste,-56.81,61.36,10.87,37.16,-25.23,12.50,82.55,17.49
,Thermal,-52.93,65.90,-81.69,39.26,-21.85,14.27,85.73,6.96
Water,Groundwater,-56.29,61.65,-82.58,35.23,-24.38,13.48,84.24,4.48
,Industrial,-62.79,55.08,-93.50,29.15,-28.43,9.57,77.79,-1.88
,Noise,-51.10,66.81,-78.27,41.23,-14.91,20.15,88.28,10.31
,Urban Activities,-54.68,61.71,-89.11,39.92,-23.36,14.12,83.06,4.52
Average,,-55.73,61.00,-77.04,36.78,-23.14,13.68,83.83,5.63
