Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Concert,Q1,February,Massachusetts,Cambridge,2.96
Culture,Concert,Q2,March,Nevada,Las Vegas,4.91
Culture,Concert,Q4,January,Massachusetts,Boulder City,5.73
Culture,Concert,Q1,May,Nevada,Cambridge,6.35
Culture,Concert,Q2,April,Massachusetts,Las Vegas,6.71
Culture,Concert,Q4,June,Nevada,Boulder City,6.86
Culture,Concert,Q1,November,Massachusetts,Cambridge,14.9
Culture,Concert,Q2,December,Nevada,Las Vegas,16.21
Culture,Concert,Q4,October,Massachusetts,Boulder City,16.3
Production,Theatre,Q1,February,Massachusetts,Cambridge,18.54
Production,Theatre,Q2,March,Nevada,Las Vegas,20.72
Production,Theatre,Q4,January,Massachusetts,Boulder City,24.75
Production,Theatre,Q1,May,Nevada,Cambridge,25.34
Production,Theatre,Q2,April,Massachusetts,Las Vegas,24.46
Production,Theatre,Q4,June,Nevada,Boulder City,30.95
Production,Theatre,Q1,November,Massachusetts,Cambridge,30.23
Production,Theatre,Q2,December,Nevada,Las Vegas,32.76
Production,Theatre,Q4,October,Massachusetts,Boulder City,33.0
Residential,Museum,Q1,February,Massachusetts,Cambridge,34.03
Residential,Museum,Q2,March,Nevada,Las Vegas,30.22
Residential,Museum,Q4,January,Massachusetts,Boulder City,32.08
Residential,Museum,Q1,May,Nevada,Cambridge,40.46
Residential,Museum,Q2,April,Massachusetts,Las Vegas,43.98
Residential,Museum,Q4,June,Nevada,Boulder City,46.4
Residential,Museum,Q1,November,Massachusetts,Cambridge,46.37
Residential,Museum,Q2,December,Nevada,Las Vegas,49.11
Residential,Museum,Q4,October,Massachusetts,Boulder City,55.5
Culture,Workshop,Q1,February,Massachusetts,Cambridge,55.47
Culture,Workshop,Q2,March,Nevada,Las Vegas,57.15
Culture,Workshop,Q4,January,Massachusetts,Boulder City,55.35
Culture,Workshop,Q1,May,Nevada,Cambridge,64.48
Culture,Workshop,Q2,April,Massachusetts,Las Vegas,65.66
Culture,Workshop,Q4,June,Nevada,Boulder City,64.97
Culture,Workshop,Q1,November,Massachusetts,Cambridge,67.23
Culture,Workshop,Q2,December,Nevada,Las Vegas,68.32
Culture,Workshop,Q4,October,Massachusetts,Boulder City,67.19
Production,Factory,Q1,February,Massachusetts,Cambridge,68.12
Production,Factory,Q2,March,Nevada,Las Vegas,68.85
Production,Factory,Q4,January,Massachusetts,Boulder City,72.42
Production,Factory,Q1,May,Nevada,Cambridge,73.18
Production,Factory,Q2,April,Massachusetts,Las Vegas,74.4
Production,Factory,Q4,June,Nevada,Boulder City,75.33
Production,Factory,Q1,November,Massachusetts,Cambridge,77.34
Production,Factory,Q2,December,Nevada,Las Vegas,78.2
Production,Factory,Q4,October,Massachusetts,Boulder City,66.63
Residential,Hotel,Q1,February,Massachusetts,Cambridge,80.39
Residential,Hotel,Q2,March,Nevada,Las Vegas,81.02
Residential,Hotel,Q4,January,Massachusetts,Boulder City,82.96
Residential,Hotel,Q1,May,Nevada,Cambridge,83.05
Residential,Hotel,Q2,April,Massachusetts,Las Vegas,84.59
Residential,Hotel,Q4,June,Nevada,Boulder City,83.31
Residential,Hotel,Q1,November,Massachusetts,Cambridge,86.89
Residential,Hotel,Q2,December,Nevada,Las Vegas,88.12
Residential,Hotel,Q4,October,Massachusetts,Boulder City,89.8
Culture,House,Q1,February,Massachusetts,Cambridge,90.1
Culture,House,Q2,March,Nevada,Las Vegas,91.85
Culture,House,Q4,January,Massachusetts,Boulder City,92.74
Culture,House,Q1,May,Nevada,Cambridge,90.02
Culture,House,Q2,April,Massachusetts,Las Vegas,94.73
Culture,House,Q4,June,Nevada,Boulder City,94.93
Culture,House,Q1,November,Massachusetts,Cambridge,93.85
Culture,House,Q2,December,Nevada,Las Vegas,97.33
Culture,House,Q4,October,Massachusetts,Boulder City,99.45
