Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Wind,Storm,0.56
2020,Temperature,Calm,4.83
2020,Humidity,Breeze,6.76
2020,Wind,31-40,7.61
2020,Temperature,21-30,8.53
2020,Humidity,Medium,9.75
2020,Wind,Low,10.22
2020,Temperature,High,12.03
2020,Humidity,Storm,12.09
2016,Wind,Storm,12.53
2016,Temperature,Calm,15.49
2016,Humidity,Breeze,16.27
2016,Wind,31-40,16.86
2016,Temperature,21-30,14.48
2016,Humidity,Medium,19.79
2016,Wind,Low,20.25
2016,Temperature,High,21.78
2016,Humidity,Storm,20.36
2019,Wind,Storm,23.24
2019,Temperature,Calm,24.15
2019,Humidity,Breeze,24.88
2019,Wind,31-40,18.92
2019,Temperature,21-30,27.0
2019,Humidity,Medium,26.89
2019,Wind,Low,27.65
2019,Temperature,High,27.44
2019,Humidity,Storm,18.57
