Quarter,Month,Production_Hospital,Production_Hotel,Residential_Factory,Residential_House,Service_Administration,Service_Workshop,Minimum
Q1,August,18.74,73.56,34.39,94.79,1.21,59.36,1.21
,March,15.14,68.27,33.60,91.24,3.21,45.50,3.21
,May,10.04,65.40,25.09,85.57,1.82,39.62,1.82
Q2,April,4.24,64.06,20.83,77.46,0.49,40.04,0.49
,January,13.51,66.97,26.66,87.95,3.35,45.45,3.35
,September,17.65,70.20,35.61,92.71,2.02,55.01,2.02
Q3,April,19.69,75.72,39.74,98.85,6.05,61.10,6.05
,July,16.36,68.45,34.31,92.47,1.05,51.75,1.05
,June,13.66,65.92,26.67,85.04,0.93,43.85,0.93
Minimum,,4.24,64.06,20.83,77.46,0.49,39.62,0.49
