Polluted element,Type of pollution,California_Berkeley_2016,California_Port Huron_2015,Michigan_Detroit_2021,Michigan_Flint_2016,Michigan_Los-Angeles_2015
Air,,64.45,-8.12,40.43,30.90,-11.33
,  Inferior Irrigation,-31.02,-67.10,88.96,43.71,-2.68
,  Inorganic Fertilizers,94.19,51.96,-69.40,20.99,-21.59
,  Light,97.44,55.91,71.24,34.05,-6.87
,  Oxygen-depletion,97.20,-73.23,70.92,24.86,-14.18
Soil,,30.42,-42.92,3.50,21.34,-16.18
,  Industrial,-37.66,-82.82,-66.51,0.84,-24.82
,  Solid Waste,-33.68,52.99,65.53,21.66,-20.03
,  Surface water,98.92,-72.50,-57.81,28.73,-14.17
,  Thermal,94.11,-69.35,72.79,34.11,-5.68
Water,,-1.48,-42.36,-26.25,-3.31,-12.63
,  Chemical,96.50,-77.24,-62.03,21.93,-16.12
,  Industrial,-32.61,60.82,-49.93,-88.31,-4.68
,  Inferior Irrigation,-36.38,-79.17,63.89,18.18,-22.44
,  Noise,-33.42,-73.84,-56.91,34.94,-7.30
Average,,31.13,-31.13,5.89,16.31,-13.38
,  ,31.13,-31.13,5.89,16.31,-13.38
