Quarter,Month,Production_Apartment,Production_Factory,Residential_Hotel,Residential_Library,Residential_Workshop,Service_Hospital,Service_House,State,City
Q1,,22.34,63.95,4.62,81.16,47.03,74.47,26.95,,
,  February,26.19,69.64,14.46,94.12,55.58,81.36,44.03,Massachusetts,Lenox
,  January,23.82,67.73,8.05,81.16,55.01,78.07,34.75,Massachusetts,Lenox
,  June,22.34,63.95,4.62,82.98,47.03,74.47,26.95,Massachusetts,Lenox
Q2,,17.40,58.85,3.90,82.71,47.36,67.35,26.56,,
,  April,17.40,58.85,3.90,82.71,47.36,67.35,26.56,Massachusetts,Cambridge
,  March,25.96,68.03,12.35,90.03,56.23,77.20,35.31,Massachusetts,Cambridge
,  May,23.64,66.80,6.50,83.99,52.30,77.70,32.10,Massachusetts,Cambridge
Minimum,,17.40,58.85,3.90,81.16,47.03,67.35,26.56,,
,  ,17.40,58.85,3.90,81.16,47.03,67.35,26.56,,
