Polluted element,Type of pollution,Georgia_Aberdeen_2022,Georgia_Baltimore_2015,Georgia_Washington_2018,Maryland_Columbia_2018,Maryland_Columbus_2022,Average
Air,Industrial,-20.30,66.30,14.13,89.41,45.66,39.04
,Inorganic Fertilizers,99.85,56.63,11.61,82.94,-83.35,33.54
,Light,99.52,-70.00,6.24,74.68,-97.87,2.51
,Noise,-4.81,-52.38,25.41,-34.59,56.06,-2.06
,Oxygen-depletion,-11.61,72.49,16.11,-36.07,-77.56,-7.33
Soil,Chemical,-6.14,74.83,13.62,93.01,-74.60,20.14
,Inferior Irrigation,-3.08,-64.37,13.77,-38.91,51.88,-8.14
,Noise,-6.41,-70.39,9.16,-48.87,-96.27,-42.56
,Thermal,-3.26,-52.53,27.25,92.37,-73.56,-1.95
,Urban Activities,-24.10,-64.33,11.97,-45.33,-81.00,-40.56
Water,Groundwater,-11.95,-60.16,13.96,91.82,52.23,17.18
,Inorganic Fertilizers,-1.95,-53.61,-99.33,-30.81,58.72,-25.40
,Light,-5.87,-53.31,23.33,94.18,-73.71,-3.08
,Solid Waste,-23.24,65.99,13.56,-42.89,-81.81,-13.68
,Thermal,-27.77,-72.11,9.86,-48.86,45.69,-18.64
