Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Museum,Q4,October,2.55
Culture,Museum,Q3,November,6.93
Culture,Museum,Q4,December,9.11
Culture,Museum,Q3,September,15.53
Culture,Museum,Q4,August,20.82
Culture,Museum,Q3,October,20.92
Residential,Concert,Q4,October,22.89
Residential,Concert,Q3,November,23.84
Residential,Concert,Q4,December,40.85
Residential,Concert,Q3,September,42.74
Residential,Concert,Q4,August,47.37
Residential,Concert,Q3,October,49.66
Culture,Apartment,Q4,October,59.48
Culture,Apartment,Q3,November,59.93
Culture,Apartment,Q4,December,61.27
Culture,Apartment,Q3,September,60.38
Culture,Apartment,Q4,August,61.35
Culture,Apartment,Q3,October,64.72
Residential,Hotel,Q4,October,65.37
Residential,Hotel,Q3,November,67.42
Residential,Hotel,Q4,December,68.8
Residential,Hotel,Q3,September,70.72
Residential,Hotel,Q4,August,76.71
Residential,Hotel,Q3,October,77.82
Culture,House,Q4,October,78.06
Culture,House,Q3,November,80.43
Culture,House,Q4,December,84.27
Culture,House,Q3,September,90.69
Culture,House,Q4,August,91.06
Culture,House,Q3,October,96.61
