Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Humidity,Low,2.59
2022,Wind,Medium,3.76
2022,Temperature,High,3.91
2022,Humidity,Breeze,2.08
2022,Wind,Calm,6.73
2022,Temperature,31-40,7.8
2022,Humidity,21-30,3.58
2022,Wind,Low,9.12
2022,Temperature,Medium,10.62
2015,Humidity,Low,11.66
2015,Wind,Medium,3.34
2015,Temperature,High,14.42
2015,Humidity,Breeze,15.51
2015,Wind,Calm,15.0
2015,Temperature,31-40,17.19
2015,Humidity,21-30,16.42
2015,Wind,Low,16.79
2015,Temperature,Medium,15.01
2020,Humidity,Low,21.53
2020,Wind,Medium,22.1
2020,Temperature,High,20.5
2020,Humidity,Breeze,15.17
2020,Wind,Calm,20.1
2020,Temperature,31-40,27.69
2020,Humidity,21-30,27.87
2020,Wind,Low,2.43
2020,Temperature,Medium,16.29
