Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,11-20,24.9
2015,Humidity,0-10,13.48
2015,Temperature,31-40,9.26
2015,Humidity,Low,10.98
2015,Temperature,High,10.3
2015,Humidity,11-20,13.52
2018,Temperature,11-20,14.19
2018,Humidity,0-10,15.75
2018,Temperature,31-40,16.62
2018,Humidity,Low,14.53
2018,Temperature,High,15.49
2018,Humidity,11-20,16.91
2016,Temperature,11-20,19.13
2016,Humidity,0-10,21.14
2016,Temperature,31-40,22.37
2016,Humidity,Low,23.07
2016,Temperature,High,19.83
2016,Humidity,11-20,21.35
