Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Administration,Q3,August,1.52
Service,Administration,Q1,September,2.88
Service,Administration,Q3,February,3.1
Service,Administration,Q1,January,2.51
Service,Administration,Q3,March,1.27
Service,Administration,Q1,August,6.31
Residential,Library,Q3,August,2.99
Residential,Library,Q1,September,9.34
Residential,Library,Q3,February,11.17
Residential,Library,Q1,January,13.68
Residential,Library,Q3,March,13.29
Residential,Library,Q1,August,15.54
Culture,Hospital,Q3,August,17.07
Culture,Hospital,Q1,September,18.04
Culture,Hospital,Q3,February,21.36
Culture,Hospital,Q1,January,26.6
Culture,Hospital,Q3,March,29.98
Culture,Hospital,Q1,August,32.34
Service,House,Q3,August,32.25
Service,House,Q1,September,35.72
Service,House,Q3,February,36.77
Service,House,Q1,January,43.24
Service,House,Q3,March,44.81
Service,House,Q1,August,46.91
Residential,Apartment,Q3,August,50.57
Residential,Apartment,Q1,September,55.72
Residential,Apartment,Q3,February,58.37
Residential,Apartment,Q1,January,59.71
Residential,Apartment,Q3,March,61.05
Residential,Apartment,Q1,August,61.26
Culture,Concert,Q3,August,63.68
Culture,Concert,Q1,September,62.12
Culture,Concert,Q3,February,68.48
Culture,Concert,Q1,January,69.56
Culture,Concert,Q3,March,73.03
Culture,Concert,Q1,August,73.42
Service,Theatre,Q3,August,83.65
Service,Theatre,Q1,September,88.27
Service,Theatre,Q3,February,91.46
Service,Theatre,Q1,January,92.4
Service,Theatre,Q3,March,98.67
Service,Theatre,Q1,August,99.36
