Characteristic,Intensity,2019_California_Los-Angeles,2019_California_Minneapolis,2020_Minnesota_Port Huron,2020_Minnesota_San Francisco,2021_Michigan_Flint,2021_Michigan_Hastings
Temperature,,23.46,14.50,11.09,25.81,5.86,23.28
,  21-30,7.98,12.34,8.23,25.48,3.45,17.84
,  31-40,10.83,14.50,11.09,25.81,5.86,23.28
,  Breeze,23.46,12.26,7.13,24.13,1.68,19.11
Wind,,25.94,14.40,8.68,26.42,3.89,22.00
,  11-20,1.44,12.45,8.68,26.42,3.89,22.00
,  Calm,24.67,14.40,8.09,26.41,0.74,15.67
,  Storm,25.94,12.56,2.06,24.27,0.81,18.60
Maximum,,25.94,14.50,11.09,26.42,5.86,23.28
,  ,25.94,14.50,11.09,26.42,5.86,23.28
