Polluted element,Type of pollution,Florida_Flint_2021,Florida_Tampa_2015,Michigan_Detroit_2015,Michigan_Fort Lauderdale_2022
Air,Chemical,40.79,-24.71,18.11,79.63
,Groundwater,-75.76,-20.99,22.22,82.61
,Inorganic Fertilizers,-66.78,-5.05,-97.12,90.85
,Light,34.85,-35.16,-0.86,-57.55
Soil,Light,66.77,-1.65,31.07,90.14
,Noise,-91.93,-27.16,8.04,74.98
,Oxygen-depletion,-76.35,-21.98,21.77,82.43
,Solid Waste,-71.35,-7.91,29.89,-40.01
Water,Industrial,56.75,-16.96,24.31,83.74
,Surface water,50.50,-23.25,18.51,82.91
,Thermal,35.70,-7.35,6.32,72.06
,Urban Activities,63.64,-2.49,32.83,-38.76
