Polluted element,Type of pollution,Florida_Boston_2022,Florida_Columbia_2022,Maryland_Baltimore_2019,Maryland_Fort Lauderdale_2019,Maryland_Lenox_2019,Massachusetts_Aberdeen_2015,Massachusetts_Cambridge_2015,Massachusetts_Tampa_2015,Average
Soil,,-15.66,-6.59,4.68,63.20,-12.04,18.60,62.26,-21.85,11.58
,  Industrial,64.97,34.55,3.34,82.65,-77.02,15.95,62.15,-29.96,19.58
,  Inferior Irrigation,-56.75,35.56,4.67,20.76,-13.75,21.56,60.79,-22.43,6.30
,  Surface water,-55.19,-89.88,6.02,86.18,54.65,18.29,63.84,-13.15,8.85
Water,,8.23,-68.90,7.83,1.52,-75.64,21.50,-44.20,-17.23,-20.86
,  Groundwater,-54.44,-90.73,8.61,89.56,-75.94,27.32,-65.87,-12.95,-21.80
,  Solid Waste,6.66,-25.65,8.62,-41.44,-75.72,22.69,-0.86,-19.60,-15.66
,  Urban Activities,72.47,-90.33,6.26,-43.56,-75.26,14.50,-65.86,-19.14,-25.11
Average,,-3.71,-37.75,6.25,32.36,-43.84,20.05,9.03,-19.54,-4.64
,  ,-3.71,-37.75,6.25,32.36,-43.84,20.05,9.03,-19.54,-4.64
