State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Florida,Tampa,2016,Water,Oxygen-depletion,16.92
Florida,Tampa,2016,Air,Surface water,18.67
Florida,Tampa,2016,Water,Chemical,-98.94
Florida,Tampa,2016,Air,Groundwater,32.71
Florida,Tampa,2016,Water,Light,33.42
Florida,Tampa,2016,Air,Noise,-95.0
Florida,Tampa,2016,Water,Thermal,36.29
Florida,Tampa,2016,Air,Oxygen-depletion,37.97
Massachusetts,Fort Lauderdale,2017,Water,Oxygen-depletion,37.21
Massachusetts,Fort Lauderdale,2017,Air,Surface water,42.9
Massachusetts,Fort Lauderdale,2017,Water,Chemical,44.37
Massachusetts,Fort Lauderdale,2017,Air,Groundwater,-82.12
Massachusetts,Fort Lauderdale,2017,Water,Light,52.62
Massachusetts,Fort Lauderdale,2017,Air,Noise,-73.57
Massachusetts,Fort Lauderdale,2017,Water,Thermal,-70.48
Massachusetts,Fort Lauderdale,2017,Air,Oxygen-depletion,59.04
Florida,Lenox,2019,Water,Oxygen-depletion,66.4
Florida,Lenox,2019,Air,Surface water,-53.45
Florida,Lenox,2019,Water,Chemical,-51.11
Florida,Lenox,2019,Air,Groundwater,-48.19
Florida,Lenox,2019,Water,Light,83.45
Florida,Lenox,2019,Air,Noise,-41.57
Florida,Lenox,2019,Water,Thermal,-41.78
Florida,Lenox,2019,Air,Oxygen-depletion,-32.37
Massachusetts,Boston,2020,Water,Oxygen-depletion,-26.25
Massachusetts,Boston,2020,Air,Surface water,-24.98
Massachusetts,Boston,2020,Water,Chemical,-20.04
Massachusetts,Boston,2020,Air,Groundwater,-19.5
Massachusetts,Boston,2020,Water,Light,-12.37
Massachusetts,Boston,2020,Air,Noise,-8.03
Massachusetts,Boston,2020,Water,Thermal,-6.65
Massachusetts,Boston,2020,Air,Oxygen-depletion,-2.71
