Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q3,July,6.28
Production,Workshop,Q2,September,8.32
Production,Workshop,Q3,June,12.28
Production,Workshop,Q2,April,16.3
Service,Factory,Q3,July,16.64
Service,Factory,Q2,September,19.07
Service,Factory,Q3,June,27.89
Service,Factory,Q2,April,30.5
Residential,Library,Q3,July,30.93
Residential,Library,Q2,September,34.83
Residential,Library,Q3,June,37.03
Residential,Library,Q2,April,37.52
Production,Administration,Q3,July,46.82
Production,Administration,Q2,September,50.32
Production,Administration,Q3,June,53.95
Production,Administration,Q2,April,56.02
Service,School,Q3,July,57.54
Service,School,Q2,September,58.42
Service,School,Q3,June,62.15
Service,School,Q2,April,63.2
Residential,Hotel,Q3,July,65.39
Residential,Hotel,Q2,September,69.08
Residential,Hotel,Q3,June,75.18
Residential,Hotel,Q2,April,80.11
Production,Apartment,Q3,July,81.8
Production,Apartment,Q2,September,88.66
Production,Apartment,Q3,June,90.19
Production,Apartment,Q2,April,93.46
