Quarter,Month,Culture_Administration,Culture_Concert,Residential_Apartment,Residential_Hospital,Residential_Museum,Service_House,Service_Library,Minimum,State,City
Q1,,23.10,81.64,4.91,39.65,90.22,16.50,65.84,4.91,,
,  August,23.10,81.64,4.91,39.65,90.22,16.50,65.84,4.91,Michigan,Albany
,  January,30.93,82.43,6.24,44.61,94.46,20.34,68.75,6.24,Georgia,Albany
,  November,34.55,88.11,7.89,55.70,98.44,23.73,78.00,7.89,Michigan,Albany
Q3,,25.27,79.27,1.24,34.78,90.39,15.64,64.23,1.24,,
,  February,29.98,79.27,6.50,44.20,93.30,18.97,67.33,6.50,Michigan,Columbus
,  July,25.27,80.99,1.24,34.78,90.39,15.64,64.23,1.24,Georgia,Columbus
,  October,33.34,87.26,9.60,53.97,97.08,22.68,69.12,9.60,Georgia,Columbus
Q4,,28.57,81.08,5.52,44.34,86.64,18.31,67.08,5.52,,
,  July,34.45,87.13,12.30,57.15,98.26,24.27,79.93,12.30,Georgia,Detroit
,  March,30.04,86.37,8.13,52.20,86.96,21.52,68.02,8.13,Michigan,Detroit
,  September,28.57,81.08,5.52,44.34,86.64,18.31,67.08,5.52,Georgia,Detroit
Minimum,,23.10,79.27,1.24,34.78,86.64,15.64,64.23,1.24,,
,  ,23.10,79.27,1.24,34.78,86.64,15.64,64.23,1.24,,
