Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Wind,Breeze,1.06
2016,Humidity,Storm,1.13
2016,Temperature,Calm,3.35
2016,Wind,Medium,5.64
2016,Humidity,High,7.56
2016,Temperature,Low,9.28
2016,Wind,0-10,11.47
2016,Humidity,11-20,12.91
2016,Temperature,21-30,14.6
2017,Wind,Breeze,15.66
2017,Humidity,Storm,14.69
2017,Temperature,Calm,14.8
2017,Wind,Medium,20.16
2017,Humidity,High,23.0
2017,Temperature,Low,22.01
2017,Wind,0-10,22.7
2017,Humidity,11-20,24.84
2017,Temperature,21-30,26.75
