Polluted element,Type of pollution,Maryland_Baltimore_2017,Maryland_Redmond_2018,Massachusetts_Lenox_2018,Massachusetts_Portland_2017,Oregon_Boston_2017,Oregon_Columbia_2018,Oregon_Salem_2017,Average
Air,Groundwater,-77.35,46.94,-50.47,85.16,-30.19,-96.42,13.36,-15.57
,Inorganic Fertilizers,-72.51,50.58,-46.05,92.63,-27.48,-99.50,20.94,-11.63
,Light,-82.17,38.22,-61.97,76.68,-38.85,-99.09,0.77,-23.77
,Urban Activities,-69.64,65.53,-46.85,96.21,-23.68,-90.60,27.24,-5.97
Soil,Chemical,-73.00,46.82,-48.47,88.85,-27.85,-95.39,13.18,-13.69
,Industrial,-69.07,59.22,-44.47,94.51,-24.05,-93.95,25.81,-7.43
,Surface water,-78.15,44.14,-53.33,82.41,-31.83,-98.92,1.59,-19.16
,Thermal,-62.70,73.76,-39.15,98.43,-14.95,-82.05,36.69,1.43
Water,Inferior Irrigation,-73.64,57.24,-46.39,94.95,-25.57,-95.87,24.54,-9.25
,Light,-64.57,71.07,-42.04,98.31,-18.24,-82.20,34.24,-0.49
,Oxygen-depletion,-75.16,47.08,-49.11,88.91,-29.88,-96.15,14.09,-14.32
,Thermal,-79.74,38.35,-60.29,81.72,-33.13,-98.21,1.25,-21.44
Average,,-73.14,53.25,-49.05,89.90,-27.14,-94.03,17.81,-11.77
