Quarter,Month,Culture_Hospital,Culture_Museum,Production_Library,Production_Theatre,Production_Workshop,Service_Concert,Service_Factory,Service_School
Q1,,26.77,60.55,1.21,84.13,51.33,80.28,31.69,1.79
,  December,27.67,73.11,19.43,99.46,51.70,86.79,48.70,6.93
,  January,27.20,68.45,52.12,93.36,52.93,83.77,41.30,4.81
,  October,26.77,60.55,1.21,84.13,51.33,80.28,31.69,1.79
Q2,,27.82,58.71,11.65,0.07,52.32,81.57,31.09,2.01
,  May,28.83,70.08,17.08,94.28,52.82,83.48,46.63,5.15
,  November,27.82,58.71,11.65,90.68,52.32,81.57,31.09,2.01
,  October,31.11,75.00,18.29,0.07,55.79,81.63,47.18,5.71
Q4,,22.80,57.80,3.43,88.94,50.75,78.45,34.02,0.55
,  April,31.86,70.71,18.98,92.97,51.50,84.09,46.16,4.71
,  December,22.80,57.80,3.43,88.94,50.75,78.45,34.02,0.55
,  March,28.43,67.89,12.40,92.57,53.90,82.54,37.56,1.89
