Quarter,Month,Culture_House,Culture_Museum,Culture_Theatre,Residential_Apartment,Residential_Concert,Residential_Hotel,Minimum,State,City
Q1,,71.99,10.15,43.38,57.54,27.15,87.00,10.15,,
,  January,77.14,15.98,43.38,60.13,29.63,93.09,15.98,Michigan,Port Huron
,  July,87.61,23.81,54.71,68.40,36.81,95.55,23.81,Minnesota,Hastings
,  October,71.99,10.15,43.73,57.54,27.15,87.00,10.15,Minnesota,Hastings
Q3,,67.93,1.58,40.31,55.95,24.14,88.15,1.58,,
,  July,67.93,1.58,40.31,55.95,24.14,88.15,1.58,Minnesota,Hastings
,  March,82.38,18.96,47.55,60.07,32.46,94.73,18.96,Minnesota,Hastings
,  November,71.52,11.74,42.58,58.57,28.50,91.49,11.74,Michigan,Port Huron
Q4,,69.96,4.49,42.98,54.42,24.17,89.02,4.49,,
,  August,70.95,4.49,42.98,54.42,24.17,89.02,4.49,Michigan,Port Huron
,  December,69.96,13.62,45.56,59.54,28.38,92.69,13.62,Minnesota,Hastings
,  February,85.34,21.15,51.59,67.92,33.61,94.05,21.15,Michigan,Port Huron
Minimum,,67.93,1.58,40.31,54.42,24.14,87.00,1.58,,
,  ,67.93,1.58,40.31,54.42,24.14,87.00,1.58,,
