Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Humidity,Medium,1.23
2018,Wind,Low,2.88
2018,Temperature,High,2.9
2018,Humidity,Storm,1.12
2018,Wind,Calm,5.43
2018,Temperature,31-40,5.5
2018,Humidity,0-10,3.54
2018,Wind,21-30,8.7
2018,Temperature,Medium,12.5
2017,Humidity,Medium,13.55
2017,Wind,Low,12.53
2017,Temperature,High,15.87
2017,Humidity,Storm,16.96
2017,Wind,Calm,23.82
2017,Temperature,31-40,22.29
2017,Humidity,0-10,23.48
2017,Wind,21-30,22.5
2017,Temperature,Medium,24.38
