Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2022,Meat,Beef,263.48
Import,2022,Dairy,Pork,522.21
Import,2022,Cereals,Cheese,395.54
Import,2022,Meat,Yoghurt,268.17
Import,2022,Dairy,Cream,403.87
Import,2022,Cereals,Soybeans,275.66
Import,2022,Meat,Oats,533.66
Import,2022,Dairy,Beef,669.17
Import,2022,Cereals,Pork,931.07
Import,2020,Meat,Beef,932.41
Import,2020,Dairy,Pork,38.36
Import,2020,Cereals,Cheese,39.07
Import,2020,Meat,Yoghurt,297.61
Import,2020,Dairy,Cream,427.77
Import,2020,Cereals,Soybeans,301.75
Import,2020,Meat,Oats,175.3
Import,2020,Dairy,Beef,944.95
Import,2020,Cereals,Pork,304.68
Import,2018,Meat,Beef,179.24
Import,2018,Dairy,Pork,821.27
Import,2018,Cereals,Cheese,193.37
Import,2018,Meat,Yoghurt,198.6
Import,2018,Dairy,Cream,716.57
Import,2018,Cereals,Soybeans,462.75
Import,2018,Meat,Oats,464.62
Import,2018,Dairy,Beef,722.46
Import,2018,Cereals,Pork,342.28
Import,2022,Meat,Beef,988.21
Import,2022,Dairy,Pork,222.86
Import,2022,Cereals,Cheese,234.87
Import,2022,Meat,Yoghurt,370.05
Import,2022,Dairy,Cream,243.55
Import,2022,Cereals,Soybeans,883.66
Import,2022,Meat,Oats,760.28
Import,2022,Dairy,Beef,635.42
Import,2022,Cereals,Pork,381.04
