Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Temperature,21-30,3.05
2022,Humidity,31-40,3.67
2022,Wind,11-20,5.97
2022,Temperature,High,6.16
2022,Humidity,Low,6.02
2022,Wind,Medium,8.88
2022,Temperature,Storm,9.34
2022,Humidity,Breeze,8.25
2022,Wind,Calm,8.96
2015,Temperature,21-30,4.01
2015,Humidity,31-40,13.57
2015,Wind,11-20,13.13
2015,Temperature,High,15.92
2015,Humidity,Low,14.73
2015,Wind,Medium,17.7
2015,Temperature,Storm,18.89
2015,Humidity,Breeze,10.35
2015,Wind,Calm,20.16
2020,Temperature,21-30,3.25
2020,Humidity,31-40,22.17
2020,Wind,11-20,23.59
2020,Temperature,High,25.09
2020,Humidity,Low,26.72
2020,Wind,Medium,27.82
2020,Temperature,Storm,27.46
2020,Humidity,Breeze,27.09
2020,Wind,Calm,9.04
