Quarter,Month,Culture_Apartment,Culture_Hospital,Culture_Museum,Residential_Hotel,Residential_School,Residential_Theatre,Service_Concert,Service_House,Service_Library,Minimum
Q1,August,83.15,10.26,50.10,94.25,31.13,63.74,40.28,73.77,3.49,3.49
,July,90.92,26.96,56.33,93.04,38.59,71.10,47.61,71.64,11.30,11.30
,June,84.90,22.67,53.80,97.99,35.29,68.05,43.54,72.53,6.51,6.51
Q2,August,92.93,29.17,56.23,76.96,40.58,72.48,47.79,81.78,13.70,13.70
,March,83.90,19.52,51.14,95.95,33.60,66.89,42.52,75.82,4.93,4.93
,May,83.17,23.26,48.29,98.13,35.43,69.57,40.99,78.47,10.63,10.63
Q3,April,90.89,26.90,48.69,92.19,35.36,70.39,40.09,79.42,11.86,11.86
,January,85.33,22.61,51.08,95.86,34.84,67.08,40.90,75.58,5.88,5.88
,July,82.40,14.73,48.25,93.30,30.20,59.66,40.27,72.52,2.05,2.05
Minimum,,82.40,10.26,48.25,76.96,30.20,59.66,40.09,71.64,2.05,2.05
