Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Humidity,Medium,1.62
2015,Wind,Low,2.53
2015,Temperature,High,2.41
2015,Humidity,Calm,4.41
2015,Wind,Storm,5.45
2015,Temperature,Breeze,6.22
2015,Humidity,31-40,3.15
2015,Wind,21-30,8.58
2015,Temperature,Medium,14.52
2021,Humidity,Medium,15.43
2021,Wind,Low,15.3
2021,Temperature,High,16.9
2021,Humidity,Calm,20.14
2021,Wind,Storm,21.12
2021,Temperature,Breeze,20.73
2021,Humidity,31-40,20.02
2021,Wind,21-30,24.4
2021,Temperature,Medium,25.32
