Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Humidity,Medium,1.36
2016,Wind,High,4.65
2016,Temperature,Storm,5.92
2016,Humidity,Calm,6.07
2016,Wind,0-10,7.8
2016,Temperature,31-40,8.77
2015,Humidity,Medium,7.65
2015,Wind,High,10.95
2015,Temperature,Storm,11.6
2015,Humidity,Calm,11.4
2015,Wind,0-10,14.45
2015,Temperature,31-40,14.98
2021,Humidity,Medium,16.85
2021,Wind,High,14.44
2021,Temperature,Storm,18.6
2021,Humidity,Calm,20.68
2021,Wind,0-10,22.21
2021,Temperature,31-40,27.53
