Polluted element,Type of pollution,Michigan_Flint_2021,Michigan_Las Vegas_2016,Michigan_Reno_2020,Nevada_Boulder City_2021,Nevada_Detroit_2016
Soil,,9.71,-8.93,32.32,45.24,16.99
,  Industrial,19.45,-5.05,65.49,88.78,39.84
,  Oxygen-depletion,-1.23,-10.11,-30.41,-35.45,-24.14
,  Urban Activities,10.90,-11.64,61.87,82.38,35.28
Water,,-8.41,-11.77,38.75,-3.45,-69.71
,  Inferior Irrigation,6.13,-15.86,57.51,80.47,-93.16
,  Inorganic Fertilizers,18.72,-7.30,62.72,-45.93,-89.95
,  Surface water,-50.09,-12.14,-3.99,-44.88,-26.01
Average,,0.65,-10.35,35.53,20.89,-26.36
,  ,0.65,-10.35,35.53,20.89,-26.36
