Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q3,July,0.31
Service,Library,Q2,August,1.42
Service,Library,Q4,May,4.11
Service,Library,Q3,June,7.99
Service,Library,Q2,December,8.58
Service,Library,Q4,November,7.23
Service,Library,Q3,October,10.23
Service,Library,Q2,July,18.96
Service,Library,Q4,August,18.19
Residential,School,Q3,July,18.76
Residential,School,Q2,August,21.57
Residential,School,Q4,May,23.62
Residential,School,Q3,June,25.6
Residential,School,Q2,December,28.64
Residential,School,Q4,November,30.92
Residential,School,Q3,October,33.51
Residential,School,Q2,July,34.23
Residential,School,Q4,August,35.19
Service,Hospital,Q3,July,38.8
Service,Hospital,Q2,August,39.35
Service,Hospital,Q4,May,40.54
Service,Hospital,Q3,June,40.33
Service,Hospital,Q2,December,40.83
Service,Hospital,Q4,November,41.31
Service,Hospital,Q3,October,38.25
Service,Hospital,Q2,July,45.89
Service,Hospital,Q4,August,46.02
Residential,Apartment,Q3,July,48.75
Residential,Apartment,Q2,August,48.08
Residential,Apartment,Q4,May,50.0
Residential,Apartment,Q3,June,53.33
Residential,Apartment,Q2,December,53.12
Residential,Apartment,Q4,November,55.53
Residential,Apartment,Q3,October,56.04
Residential,Apartment,Q2,July,53.56
Residential,Apartment,Q4,August,55.38
Service,House,Q3,July,65.93
Service,House,Q2,August,65.62
Service,House,Q4,May,68.84
Service,House,Q3,June,70.82
Service,House,Q2,December,77.96
Service,House,Q4,November,81.45
Service,House,Q3,October,83.25
Service,House,Q2,July,84.93
Service,House,Q4,August,85.98
Residential,Hotel,Q3,July,86.69
Residential,Hotel,Q2,August,88.28
Residential,Hotel,Q4,May,88.86
Residential,Hotel,Q3,June,89.19
Residential,Hotel,Q2,December,91.61
Residential,Hotel,Q4,November,97.79
Residential,Hotel,Q3,October,98.67
Residential,Hotel,Q2,July,99.42
Residential,Hotel,Q4,August,99.37
