Quarter,Month,Production_Factory,Production_Hospital,Residential_Apartment,Residential_School,Residential_Workshop,Service_Administration,Service_House,State,City
Q2,,68.94,21.57,0.62,43.26,85.69,57.18,11.35,,
,  April,68.94,21.57,0.62,43.26,85.69,57.18,11.35,Nevada,Boulder City
,  August,70.71,42.27,7.43,53.58,96.92,65.15,18.39,Nevada,Boulder City
,  October,71.17,28.50,4.99,44.28,92.53,62.59,15.76,Illinois,Boulder City
Q3,,70.31,25.21,3.73,0.16,91.37,63.26,10.70,,
,  June,71.94,42.15,11.53,0.16,99.20,67.38,20.97,Nevada,Chicago
,  November,70.31,25.21,3.73,47.24,91.37,63.38,11.36,Nevada,Chicago
,  September,72.42,39.40,6.11,43.37,91.46,63.26,10.70,Illinois,Chicago
Q4,,69.43,23.70,1.64,44.40,87.93,59.25,13.84,,
,  April,69.61,42.97,10.12,53.56,98.04,65.28,15.07,Illinois,Las Vegas
,  December,72.14,29.31,4.47,44.40,92.52,63.02,15.22,Nevada,Las Vegas
,  June,69.43,23.70,1.64,44.50,87.93,59.25,13.84,Illinois,Las Vegas
