Polluted element,Type of pollution,Minnesota_Las Vegas_2017,Minnesota_Rochester_2017,Nevada_Minneapolis_2019,Nevada_Reno_2019
Air,,15.27,6.76,61.35,-4.55
,  Industrial,78.37,27.53,57.75,-28.27
,  Light,14.92,-40.96,61.89,40.49
,  Oxygen-depletion,-47.47,33.72,64.40,-25.88
Soil,,-4.84,31.38,40.99,-21.80
,  Chemical,-45.92,33.85,68.09,-15.73
,  Inorganic Fertilizers,79.27,28.35,55.62,-28.56
,  Noise,-47.88,31.95,-0.75,-21.12
Water,,16.59,-52.89,65.87,-20.01
,  Groundwater,-49.51,-99.93,63.70,-27.22
,  Solid Waste,16.10,34.70,64.51,-17.86
,  Surface water,83.17,-93.45,69.41,-14.96
