Characteristic,Intensity,2017_Oregon_Malibu,2017_Oregon_Portland,2017_Oregon_Redmond,2021_California_Salem,2021_California_San Francisco
Humidity,,23.93,4.37,16.70,8.29,24.52
,  0-10,18.89,2.46,8.95,8.29,20.17
,  11-20,15.16,4.11,15.75,4.21,24.52
,  Low,23.93,4.37,16.70,4.64,20.28
Temperature,,27.93,3.66,16.59,9.82,23.66
,  11-20,25.28,1.72,9.05,7.14,15.13
,  21-30,27.93,2.25,15.82,9.82,21.57
,  Medium,20.39,3.66,16.59,9.50,23.66
Maximum,,27.93,4.37,16.70,9.82,24.52
,  ,27.93,4.37,16.70,9.82,24.52
