Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2022,Q3,Dairy,Cream,515.28
Import,2022,Q3,Meat,Butter,132.33
Import,2022,Q3,Dairy,Cheese,262.47
Import,2022,Q3,Meat,Beef,266.59
Import,2022,Q3,Dairy,Chicken,270.41
Import,2022,Q3,Meat,Cream,915.15
Import,2016,Q3,Dairy,Cream,536.4
Import,2016,Q3,Meat,Butter,155.2
Import,2016,Q3,Dairy,Cheese,28.67
Import,2016,Q3,Meat,Beef,669.55
Import,2016,Q3,Dairy,Chicken,674.65
Import,2016,Q3,Meat,Cream,932.38
Import,2022,Q3,Dairy,Cream,812.28
Import,2022,Q3,Meat,Butter,183.12
Import,2022,Q3,Dairy,Cheese,312.95
Import,2022,Q3,Meat,Beef,443.64
Import,2022,Q3,Dairy,Chicken,65.02
Import,2022,Q3,Meat,Cream,197.15
Import,2016,Q3,Dairy,Cream,205.65
Import,2016,Q3,Meat,Butter,343.25
Import,2016,Q3,Dairy,Cheese,352.43
Import,2016,Q3,Meat,Beef,613.5
Import,2016,Q3,Dairy,Chicken,242.36
Import,2016,Q3,Meat,Cream,626.08
