Characteristic,Intensity,2016_Michigan_Detroit,2016_Michigan_Minneapolis,2016_Michigan_Reno,2019_Minnesota_Boulder City,2019_Minnesota_Port Huron,2022_Nevada_Flint,2022_Nevada_Las Vegas,2022_Nevada_Rochester,Maximum
Humidity,,6.01,19.22,26.03,15.25,25.06,16.57,9.61,23.75,26.03
,  31-40,1.62,0.97,25.89,11.37,19.72,10.58,7.17,20.44,25.89
,  Calm,6.01,19.22,26.03,15.25,25.06,16.57,0.20,23.75,26.03
,  Low,4.81,18.83,6.09,3.74,22.43,12.18,9.61,2.15,22.43
Temperature,,6.15,18.35,27.62,15.49,22.26,14.05,27.37,21.39,27.62
,  21-30,0.30,16.12,27.62,11.53,18.78,9.65,27.37,7.13,27.62
,  Breeze,6.15,18.35,27.28,15.49,22.26,14.05,10.38,2.59,27.28
,  Medium,3.24,5.46,25.82,12.89,21.86,11.34,2.78,21.39,25.82
Wind,,6.19,19.81,26.57,15.75,26.14,17.97,11.57,25.76,26.57
,  11-20,1.43,17.61,20.33,12.92,19.91,11.03,8.06,20.95,20.95
,  High,5.94,2.33,25.59,14.69,23.33,14.39,9.22,22.64,25.59
,  Storm,6.19,19.81,26.57,15.75,26.14,17.97,11.57,25.76,26.57
