Polluted element,Type of pollution,Maryland_Aberdeen_2016,Maryland_Boulder City_2016,Maryland_Las Vegas_2016,Nevada_Baltimore_2021,Nevada_Reno_2021
Air,Industrial,13.04,-18.01,60.47,-91.37,-49.00
,Noise,0.19,92.89,-74.76,28.37,71.36
,Surface water,23.10,-12.67,-62.78,-80.62,87.12
,Urban Activities,7.87,-25.92,-70.91,-95.73,74.94
Soil,Chemical,13.99,-17.24,-64.31,44.04,-48.70
,Groundwater,26.78,-6.07,-62.85,-76.12,-38.37
,Inorganic Fertilizers,8.06,-21.93,-68.51,34.98,-51.22
,Light,1.40,93.10,54.67,-98.92,-58.52
Water,Noise,27.68,-3.60,70.71,-75.70,-38.65
,Oxygen-depletion,20.88,-13.39,-63.78,45.83,77.28
,Solid Waste,11.80,-19.37,60.25,-92.79,78.80
,Thermal,3.30,90.87,-73.03,31.03,-55.52
