Quarter,Month,Culture_Concert,Culture_School,Production_Administration,Production_Museum,Production_Workshop,Service_Factory,Service_Hospital,Service_Theatre,State,City
Q2,,58.75,22.84,10.64,84.55,47.75,35.75,4.07,69.77,,
,  July,58.75,35.34,18.79,96.50,54.46,44.37,9.98,79.15,Georgia,Columbus
,  May,62.70,25.92,10.64,87.15,50.16,41.14,7.10,71.88,Florida,Tampa
,  November,59.59,22.84,13.51,84.55,47.75,35.75,4.07,69.77,Georgia,Columbus
Q3,,59.94,23.17,8.48,85.98,48.86,7.09,4.35,40.71,,
,  April,62.98,32.99,10.48,89.79,51.81,42.63,4.35,40.71,Georgia,Columbus
,  October,59.94,23.17,8.48,85.98,48.86,7.09,5.25,71.58,Florida,Tampa
,  September,66.68,36.47,12.82,98.42,56.64,45.66,7.69,81.02,Florida,Tampa
Q4,,58.11,15.48,12.03,81.83,45.78,37.25,2.44,59.37,,
,  August,61.45,33.64,18.97,94.75,52.02,43.87,9.00,78.73,Florida,Tampa
,  December,58.11,21.04,12.03,81.83,45.78,37.25,2.44,59.37,Florida,Tampa
,  June,61.90,15.48,15.24,86.32,49.98,40.26,6.06,72.64,Georgia,Columbus
