Polluted element,Type of pollution,Massachusetts_Boston_2022,Massachusetts_Cambridge_2022,Massachusetts_Flint_2022,Michigan_Detroit_2019,Michigan_Lenox_2019
Air,,-21.24,14.27,23.96,-6.30,-47.03
,  Inferior Irrigation,13.89,-81.68,96.04,-56.68,36.01
,  Light,18.81,59.50,-22.55,-50.85,-90.54
,  Oxygen-depletion,-96.42,64.99,-1.61,88.62,-86.55
Soil,,18.91,-32.23,-22.81,34.07,-4.64
,  Oxygen-depletion,11.70,42.25,-34.74,72.86,34.04
,  Surface water,27.83,-64.47,-6.31,-44.04,42.75
,  Thermal,17.19,-74.47,-27.37,73.40,-90.70
Water,,14.72,9.44,12.17,30.51,36.53
,  Noise,19.93,63.23,-21.55,80.78,40.17
,  Solid Waste,14.49,-79.17,98.03,-54.72,34.43
,  Surface water,9.73,44.26,-39.96,65.48,34.98
