Polluted element,Type of pollution,California_Los-Angeles_2020,California_Redmond_2020,California_Rochester_2020,Minnesota_Hastings_2019,Minnesota_Malibu_2019,Minnesota_Portland_2019,Oregon_Minneapolis_2018,Oregon_Salem_2018,Oregon_San Francisco_2018,Average
Air,,-18.93,52.33,-81.19,1.58,-42.79,30.05,80.81,9.10,-65.56,-3.84
,  Light,-23.90,50.19,-81.04,99.69,-41.17,26.62,79.16,8.70,-71.50,5.19
,  Solid Waste,-4.77,62.56,-75.72,-92.48,-41.24,37.94,90.19,16.53,-51.65,-6.52
,  Surface water,-14.40,53.37,-78.11,-95.83,-40.88,32.21,87.16,11.88,-65.78,-12.26
,  Urban Activities,-32.64,43.18,-89.87,94.94,-47.87,23.43,66.73,-0.72,-73.32,-1.79
Soil,,-26.08,52.04,-85.64,-0.23,-43.05,29.01,77.61,9.04,-65.72,-5.89
,  Chemical,-6.58,62.94,-81.47,-93.20,-40.28,37.62,90.34,15.68,-52.85,-7.53
,  Noise,-39.34,50.28,-84.94,98.45,-42.85,25.13,72.28,9.15,-70.67,1.94
,  Oxygen-depletion,-18.03,53.35,-80.50,-98.65,-40.48,32.64,85.54,12.33,-65.91,-13.30
,  Solid Waste,-40.36,41.60,-95.67,92.50,-48.58,20.64,62.29,-0.99,-73.47,-4.67
Water,,-15.61,54.11,-79.80,-24.59,-39.10,32.70,83.64,11.90,-63.61,-4.48
,  Groundwater,-9.15,56.94,-78.57,-95.32,-37.71,35.08,88.14,14.16,-63.67,-10.01
,  Industrial,-31.90,44.28,-86.18,97.48,-43.82,24.43,68.92,8.85,-71.60,1.16
,  Thermal,-20.00,50.98,-80.37,-9.26,-40.78,30.83,85.72,11.39,-68.76,-4.47
,  Urban Activities,-1.40,64.25,-74.08,-91.28,-34.09,40.47,91.78,13.22,-50.40,-4.61
