Polluted element,Type of pollution,California_Berkeley_2018,California_Hastings_2018,California_Minneapolis_2018,Minnesota_Los-Angeles_2017,Minnesota_Rochester_2017
Air,Noise,12.21,-31.40,-72.54,-87.68,70.84
,Oxygen-depletion,12.37,-19.56,-68.12,-83.39,-52.82
,Surface water,23.87,-8.72,-63.87,-79.27,-9.03
,Urban Activities,2.19,90.80,52.28,30.29,-60.58
Soil,Groundwater,14.66,-9.90,-69.75,-81.29,-46.36
,Inferior Irrigation,0.33,-39.36,-79.35,29.40,65.31
,Light,14.69,-30.42,60.93,43.66,-53.50
,Solid Waste,10.36,-34.47,55.58,-88.64,-57.16
Water,Chemical,16.64,-19.26,60.72,-83.89,-51.38
,Industrial,9.32,-37.66,-75.23,-89.61,70.24
,Inferior Irrigation,28.48,-7.58,66.12,50.58,86.10
,Thermal,13.40,-31.76,-69.33,43.93,73.57
Average,,13.21,-14.94,-16.88,-32.99,2.94
