Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,0-10,0.93
2015,Humidity,31-40,1.53
2015,Temperature,Low,5.91
2015,Humidity,Medium,7.65
2015,Temperature,High,8.88
2015,Humidity,0-10,11.22
2016,Temperature,0-10,13.87
2016,Humidity,31-40,15.73
2016,Temperature,Low,16.78
2016,Humidity,Medium,16.8
2016,Temperature,High,18.0
2016,Humidity,0-10,19.61
2017,Temperature,0-10,20.39
2017,Humidity,31-40,21.0
2017,Temperature,Low,22.25
2017,Humidity,Medium,23.88
2017,Temperature,High,24.63
2017,Humidity,0-10,25.62
