Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2015,Meat,Lamb,523.52
Export,2015,Dairy,Chicken,526.06
Export,2015,Meat,Pork,656.31
Export,2015,Dairy,Yoghurt,408.01
Export,2015,Meat,Milk,794.56
Export,2015,Dairy,Lamb,924.28
Export,2018,Meat,Lamb,797.75
Export,2018,Dairy,Chicken,554.93
Export,2018,Meat,Pork,942.39
Export,2018,Dairy,Yoghurt,687.81
Export,2018,Meat,Milk,952.02
Export,2018,Dairy,Lamb,320.54
Export,2020,Meat,Lamb,67.92
Export,2020,Dairy,Chicken,69.13
Export,2020,Meat,Pork,852.04
Export,2020,Dairy,Yoghurt,853.15
Export,2020,Meat,Milk,601.67
Export,2020,Dairy,Lamb,608.58
Export,2015,Meat,Lamb,364.54
Export,2015,Dairy,Chicken,112.34
Export,2015,Meat,Pork,498.33
Export,2015,Dairy,Yoghurt,885.49
Export,2015,Meat,Milk,637.99
Export,2015,Dairy,Lamb,255.71
