Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q4,December,1.34
Service,Library,Q3,November,8.86
Service,Library,Q1,July,9.39
Service,Library,Q4,September,9.59
Service,Library,Q3,January,9.47
Service,Library,Q1,March,12.98
Residential,Hospital,Q4,December,13.18
Residential,Hospital,Q3,November,12.87
Residential,Hospital,Q1,July,22.23
Residential,Hospital,Q4,September,23.15
Residential,Hospital,Q3,January,24.96
Residential,Hospital,Q1,March,25.42
Service,School,Q4,December,26.72
Service,School,Q3,November,26.1
Service,School,Q1,July,24.99
Service,School,Q4,September,30.95
Service,School,Q3,January,40.2
Service,School,Q1,March,51.94
Residential,House,Q4,December,51.47
Residential,House,Q3,November,53.23
Residential,House,Q1,July,54.75
Residential,House,Q4,September,56.8
Residential,House,Q3,January,57.89
Residential,House,Q1,March,57.42
Service,Hotel,Q4,December,56.27
Service,Hotel,Q3,November,60.4
Service,Hotel,Q1,July,60.65
Service,Hotel,Q4,September,64.58
Service,Hotel,Q3,January,65.23
Service,Hotel,Q1,March,76.23
Residential,Apartment,Q4,December,80.79
Residential,Apartment,Q3,November,83.41
Residential,Apartment,Q1,July,83.18
Residential,Apartment,Q4,September,89.62
Residential,Apartment,Q3,January,90.2
Residential,Apartment,Q1,March,92.66
