Characteristic,Intensity,2015_Maryland_Portland,2015_Oregon_Aberdeen,2020_Maryland_Baltimore,2022_Maryland_Columbia,2022_Oregon_Salem
Temperature,,26.66,12.73,20.09,5.64,26.22
,  31-40,8.99,12.73,14.18,5.64,15.94
,  Calm,14.47,11.80,20.09,4.47,26.22
,  Storm,26.66,10.07,16.07,4.09,22.70
Wind,,27.24,12.61,19.22,5.76,25.69
,  0-10,13.07,12.61,19.22,5.76,25.69
,  21-30,27.24,11.06,11.24,5.61,23.25
,  Calm,26.35,4.82,15.32,1.66,20.26
Maximum,,27.24,12.73,20.09,5.76,26.22
,  ,27.24,12.73,20.09,5.76,26.22
