Characteristic,Intensity,2015_California_San Francisco,2015_Nevada_Reno,2021_California_Boulder City,2021_Nevada_Berkeley,2022_Nevada_Las Vegas,Maximum
Humidity,,26.50,5.01,13.53,22.00,23.39,26.50
,  0-10,25.38,5.01,13.53,22.00,23.39,25.38
,  Calm,26.50,3.45,7.11,17.63,20.22,26.50
,  Medium,26.43,0.62,7.66,13.95,18.35,26.43
Temperature,,26.84,5.14,16.36,24.79,26.14,26.84
,  11-20,10.14,2.89,16.36,24.79,26.14,26.14
,  Low,26.36,1.98,4.28,4.63,20.68,26.36
,  Storm,26.84,5.14,13.32,2.82,23.46,26.84
Wind,,25.14,1.60,16.97,24.51,23.52,25.14
,  21-30,8.91,1.60,16.97,24.51,23.52,24.51
,  Breeze,25.14,1.28,13.02,24.40,22.83,25.14
,  High,21.97,0.94,4.31,16.58,18.13,21.97
