Polluted element,Type of pollution,Florida_Cambridge,Florida_Rochester,Massachusetts_Boston,Massachusetts_Tampa,Minnesota_Fort Lauderdale,Minnesota_Hastings,Minnesota_Lenox
Air,,-85.31,41.79,-59.36,69.45,67.93,15.94,-22.65
,  Inorganic Fertilizers,-76.16,47.19,-50.18,79.57,-6.23,25.60,-4.16
,  Noise,-96.53,32.36,-72.00,58.16,88.79,3.49,-42.29
,  Oxygen-depletion,-78.68,46.65,-55.44,73.96,97.43,20.76,-13.24
,  Surface water,-89.86,40.95,-59.80,66.11,91.73,13.92,-30.90
Soil,,-81.52,46.38,-55.06,72.99,48.02,21.70,-15.35
,  Chemical,-80.17,45.17,-57.29,70.70,96.63,19.45,-22.56
,  Inferior Irrigation,-76.21,48.55,-52.17,76.14,99.93,24.72,-6.02
,  Light,-96.33,37.60,-64.21,58.36,92.84,12.13,-31.23
,  Noise,-73.36,54.21,-46.58,86.77,-97.32,30.51,-1.60
Water,,-85.12,43.58,-58.12,71.91,71.22,17.74,-19.82
,  Groundwater,-89.63,41.09,-58.61,67.51,95.80,18.63,-24.40
,  Solid Waste,-77.85,49.99,-48.83,84.27,0.33,29.07,-3.08
,  Thermal,-95.87,36.69,-69.81,59.11,91.59,3.39,-38.98
,  Urban Activities,-77.13,46.55,-55.21,76.73,97.17,19.87,-12.84
