Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q1,February,0.73
Service,School,Q2,March,2.67
Service,School,Q4,April,3.18
Service,School,Q1,June,4.06
Service,School,Q2,October,6.39
Service,School,Q4,November,7.02
Production,Hospital,Q1,February,16.98
Production,Hospital,Q2,March,17.73
Production,Hospital,Q4,April,27.93
Production,Hospital,Q1,June,31.29
Production,Hospital,Q2,October,38.95
Production,Hospital,Q4,November,39.78
Service,Factory,Q1,February,57.93
Service,Factory,Q2,March,58.36
Service,Factory,Q4,April,59.98
Service,Factory,Q1,June,63.66
Service,Factory,Q2,October,68.52
Service,Factory,Q4,November,71.47
Production,Workshop,Q1,February,75.89
Production,Workshop,Q2,March,79.53
Production,Workshop,Q4,April,80.04
Production,Workshop,Q1,June,88.28
Production,Workshop,Q2,October,93.8
Production,Workshop,Q4,November,95.38
