Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q4,December,0.89
Residential,Apartment,Q1,October,2.79
Residential,Apartment,Q2,November,3.89
Residential,Apartment,Q4,January,2.67
Residential,Apartment,Q1,February,5.44
Residential,Apartment,Q2,June,6.31
Residential,Apartment,Q4,May,7.1
Residential,Apartment,Q1,December,6.64
Residential,Apartment,Q2,October,6.15
Service,Hotel,Q4,December,12.93
Service,Hotel,Q1,October,14.64
Service,Hotel,Q2,November,14.16
Service,Hotel,Q4,January,14.7
Service,Hotel,Q1,February,19.6
Service,Hotel,Q2,June,21.1
Service,Hotel,Q4,May,22.73
Service,Hotel,Q1,December,22.19
Service,Hotel,Q2,October,22.94
Production,House,Q4,December,25.11
Production,House,Q1,October,25.64
Production,House,Q2,November,29.22
Production,House,Q4,January,30.97
Production,House,Q1,February,30.4
Production,House,Q2,June,32.7
Production,House,Q4,May,35.9
Production,House,Q1,December,35.34
Production,House,Q2,October,36.99
Residential,School,Q4,December,40.03
Residential,School,Q1,October,41.06
Residential,School,Q2,November,40.51
Residential,School,Q4,January,43.85
Residential,School,Q1,February,44.21
Residential,School,Q2,June,45.32
Residential,School,Q4,May,45.02
Residential,School,Q1,December,47.45
Residential,School,Q2,October,47.13
Service,Administration,Q4,December,49.3
Service,Administration,Q1,October,50.1
Service,Administration,Q2,November,50.45
Service,Administration,Q4,January,52.68
Service,Administration,Q1,February,49.46
Service,Administration,Q2,June,56.74
Service,Administration,Q4,May,57.32
Service,Administration,Q1,December,58.37
Service,Administration,Q2,October,57.39
Production,Library,Q4,December,56.37
Production,Library,Q1,October,61.26
Production,Library,Q2,November,62.37
Production,Library,Q4,January,65.03
Production,Library,Q1,February,66.55
Production,Library,Q2,June,65.9
Production,Library,Q4,May,68.56
Production,Library,Q1,December,70.83
Production,Library,Q2,October,71.12
Residential,Factory,Q4,December,72.48
Residential,Factory,Q1,October,71.22
Residential,Factory,Q2,November,70.76
Residential,Factory,Q4,January,73.91
Residential,Factory,Q1,February,75.38
Residential,Factory,Q2,June,79.57
Residential,Factory,Q4,May,79.03
Residential,Factory,Q1,December,83.39
Residential,Factory,Q2,October,84.26
Service,Workshop,Q4,December,85.97
Service,Workshop,Q1,October,83.21
Service,Workshop,Q2,November,85.13
Service,Workshop,Q4,January,89.4
Service,Workshop,Q1,February,90.22
Service,Workshop,Q2,June,91.35
Service,Workshop,Q4,May,94.61
Service,Workshop,Q1,December,94.57
Service,Workshop,Q2,October,96.5
