Polluted element,Type of pollution,Georgia_Columbus_2017,Georgia_Flint_2016,Michigan_Albany_2020,Michigan_Detroit_2020,Michigan_Port Huron_2019
Air,Groundwater,87.41,46.69,-19.58,20.95,-61.87
,Solid Waste,-35.57,-73.12,-14.22,35.83,75.88
,Thermal,88.36,-75.38,-16.69,31.94,-56.01
,Urban Activities,-45.72,-87.98,-25.18,12.86,59.29
Soil,Chemical,84.55,-84.72,-22.03,13.50,-69.68
,Industrial,-54.78,37.45,93.32,2.16,57.67
,Light,-37.37,53.28,-19.83,-96.24,-56.38
,Oxygen-depletion,88.58,47.91,-20.69,21.36,-60.90
Water,Industrial,92.34,-73.41,-19.23,-95.71,73.37
,Noise,-39.19,49.97,-18.96,21.16,-58.61
,Solid Waste,77.74,-91.47,-33.01,6.09,59.40
,Surface water,-42.78,46.90,-20.10,16.08,66.15
