Polluted element,Type of pollution,Georgia_Albany_2021,Georgia_Columbus_2018,Georgia_Minneapolis_2021,Minnesota_Hastings_2020,Minnesota_Rochester_2016,Minnesota_Washington_2020
Air,,10.75,-62.78,-31.21,-10.58,41.04,37.58
,  Groundwater,7.19,-63.96,-31.87,-3.51,84.25,39.20
,  Inferior Irrigation,3.21,-69.37,-36.66,-26.20,-48.84,28.17
,  Thermal,21.84,-55.02,-25.09,-2.02,87.71,45.37
Soil,,3.82,59.24,51.23,-18.03,79.95,-52.84
,  Noise,9.34,66.51,-28.75,-9.71,85.42,-87.65
,  Oxygen-depletion,1.12,61.61,94.26,-20.27,80.01,-95.64
,  Solid Waste,1.01,49.59,88.18,-24.10,74.42,24.78
Water,,9.41,19.47,9.43,-15.44,39.62,-8.47
,  Chemical,6.78,-65.36,95.18,-16.54,80.78,-92.66
,  Inorganic Fertilizers,1.46,52.35,-40.52,-25.88,-49.41,24.59
,  Light,19.99,71.43,-26.36,-3.89,87.50,42.65
Average,,7.99,5.31,9.82,-14.68,53.54,-7.91
,  ,7.99,5.31,9.82,-14.68,53.54,-7.91
