Characteristic,Intensity,2015_Michigan_Hastings,2015_Michigan_Port Huron,2022_Minnesota_Detroit,2022_Minnesota_Rochester,Maximum
Humidity,,17.34,27.41,26.08,8.06,27.41
,  0-10,7.10,27.41,21.76,5.30,27.41
,  11-20,15.48,19.58,4.67,6.25,19.58
,  Breeze,17.34,14.43,26.08,8.06,26.08
Temperature,,18.80,24.81,26.26,8.25,26.26
,  11-20,12.00,24.81,21.40,3.34,24.81
,  Calm,15.70,0.04,18.78,6.59,18.78
,  High,18.80,15.29,26.26,8.25,26.26
Wind,,19.15,23.95,25.48,7.56,25.48
,  31-40,12.25,23.95,16.78,4.10,23.95
,  Low,19.15,17.30,25.48,7.56,25.48
,  Storm,16.70,11.03,25.12,5.11,25.12
Maximum,,19.15,27.41,26.26,8.25,27.41
,  ,19.15,27.41,26.26,8.25,27.41
