Quarter,Month,Production_Hospital,Production_Library,Production_Workshop,Service_Factory,Service_School,State,City
Q1,,54.93,91.64,4.35,19.93,72.82,,
,  April,69.30,98.27,13.86,42.27,85.66,Massachusetts,Tampa
,  July,59.10,94.43,8.23,33.31,78.64,Florida,Tampa
,  June,54.93,91.64,4.35,19.93,72.82,Massachusetts,Tampa
Q2,,44.38,89.09,1.40,16.08,70.01,,
,  April,44.38,89.09,1.40,16.08,70.01,Massachusetts,Boston
,  August,57.19,92.47,6.02,18.99,72.86,Florida,Boston
,  February,62.83,96.72,10.29,33.23,79.76,Massachusetts,Boston
Q3,,46.49,90.41,2.81,18.12,70.00,,
,  January,67.66,98.76,11.65,38.32,81.43,Florida,Cambridge
,  May,46.49,90.41,2.81,18.12,70.00,Florida,Cambridge
,  September,58.77,91.35,6.72,28.71,76.72,Massachusetts,Cambridge
Minimum,,44.38,89.09,1.40,16.08,70.00,,
,  ,44.38,89.09,1.40,16.08,70.00,,
