Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2018,Meat,Duck,902.75
Export,2018,Dairy,Lamb,383.83
Export,2018,Beverage,Cheese,652.86
Export,2018,Meat,Yoghurt,910.37
Export,2018,Dairy,Cream,784.96
Export,2018,Beverage,Tea,531.62
Export,2018,Meat,Coffee,662.89
Export,2018,Dairy,Juice,798.19
Export,2018,Beverage,Duck,548.85
Export,2017,Meat,Duck,934.45
Export,2017,Dairy,Lamb,816.48
Export,2017,Beverage,Cheese,561.12
Export,2017,Meat,Yoghurt,51.97
Export,2017,Dairy,Cream,323.36
Export,2017,Beverage,Tea,584.94
Export,2017,Meat,Coffee,74.25
Export,2017,Dairy,Juice,974.51
Export,2017,Beverage,Duck,345.6
Export,2018,Meat,Duck,347.04
Export,2018,Dairy,Lamb,603.18
Export,2018,Beverage,Cheese,102.01
Export,2018,Meat,Yoghurt,998.61
Export,2018,Dairy,Cream,616.74
Export,2018,Beverage,Tea,116.3
Export,2018,Meat,Coffee,628.41
Export,2018,Dairy,Juice,123.02
Export,2018,Beverage,Duck,767.09
