Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Wind,Calm,2.02
2018,Temperature,Storm,3.34
2018,Wind,11-20,3.93
2018,Temperature,21-30,4.08
2018,Wind,31-40,6.65
2018,Temperature,Calm,7.27
2019,Wind,Calm,8.02
2019,Temperature,Storm,9.47
2019,Wind,11-20,9.49
2019,Temperature,21-30,10.25
2019,Wind,31-40,14.56
2019,Temperature,Calm,14.51
2020,Wind,Calm,16.52
2020,Temperature,Storm,17.52
2020,Wind,11-20,18.39
2020,Temperature,21-30,19.03
2020,Wind,31-40,23.18
2020,Temperature,Calm,27.35
