Polluted element,Type of pollution,Minnesota_Hastings_2018,Minnesota_Salem_2016,Oregon_Minneapolis_2019,Oregon_Redmond_2021
Air,,-23.52,-94.21,-61.92,15.89
,  Chemical,-32.06,-98.18,-76.70,8.07
,  Inorganic Fertilizers,-14.98,-90.24,-47.14,23.72
Soil,,-16.89,36.66,-48.49,-42.30
,  Solid Waste,-3.51,40.99,-43.39,-99.41
,  Thermal,-30.26,32.32,-53.59,14.82
Water,,35.52,-95.71,-4.17,11.94
,  Noise,-23.04,-93.13,75.14,21.21
,  Oxygen-depletion,94.08,-98.29,-83.48,2.67
Average,,-1.63,-51.09,-38.19,-4.82
,  ,-1.63,-51.09,-38.19,-4.82
