Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q1,January,12.91
Service,School,Q3,March,17.64
Service,School,Q1,February,19.08
Service,School,Q3,July,22.52
Service,School,Q1,August,25.96
Service,School,Q3,September,26.61
Production,Hospital,Q1,January,29.31
Production,Hospital,Q3,March,30.79
Production,Hospital,Q1,February,33.36
Production,Hospital,Q3,July,35.73
Production,Hospital,Q1,August,54.97
Production,Hospital,Q3,September,55.59
Service,Factory,Q1,January,57.11
Service,Factory,Q3,March,59.01
Service,Factory,Q1,February,59.04
Service,Factory,Q3,July,65.55
Service,Factory,Q1,August,75.85
Service,Factory,Q3,September,77.6
Production,Workshop,Q1,January,79.32
Production,Workshop,Q3,March,82.54
Production,Workshop,Q1,February,83.04
Production,Workshop,Q3,July,84.98
Production,Workshop,Q1,August,94.18
Production,Workshop,Q3,September,98.25
