Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2017,Q1,Dairy,Yoghurt,131.55
Export,2017,Q1,Meat,Cheese,647.92
Export,2017,Q1,Cereals,Duck,648.18
Export,2017,Q1,Dairy,Chicken,12.19
Export,2017,Q1,Meat,Beef,657.57
Export,2017,Q1,Cereals,Corn,795.24
Export,2017,Q1,Dairy,Soybeans,419.71
Export,2017,Q1,Meat,Yoghurt,676.04
Export,2017,Q1,Cereals,Cheese,549.47
Export,2022,Q1,Dairy,Yoghurt,680.59
Export,2022,Q1,Meat,Cheese,45.44
Export,2022,Q1,Cereals,Duck,563.69
Export,2022,Q1,Dairy,Chicken,693.03
Export,2022,Q1,Meat,Beef,57.25
Export,2022,Q1,Cereals,Corn,68.48
Export,2022,Q1,Dairy,Soybeans,464.84
Export,2022,Q1,Meat,Yoghurt,340.82
Export,2022,Q1,Cereals,Cheese,724.23
Export,2017,Q1,Dairy,Yoghurt,725.6
Export,2017,Q1,Meat,Cheese,729.65
Export,2017,Q1,Cereals,Duck,730.86
Export,2017,Q1,Dairy,Chicken,858.92
Export,2017,Q1,Meat,Beef,477.87
Export,2017,Q1,Cereals,Corn,734.93
Export,2017,Q1,Dairy,Soybeans,994.81
Export,2017,Q1,Meat,Yoghurt,356.34
Export,2017,Q1,Cereals,Cheese,100.07
Export,2022,Q1,Dairy,Yoghurt,359.31
Export,2022,Q1,Meat,Cheese,103.68
Export,2022,Q1,Cereals,Duck,361.51
Export,2022,Q1,Dairy,Chicken,745.46
Export,2022,Q1,Meat,Beef,239.34
Export,2022,Q1,Cereals,Corn,244.45
Export,2022,Q1,Dairy,Soybeans,628.19
Export,2022,Q1,Meat,Yoghurt,250.57
Export,2022,Q1,Cereals,Cheese,126.24
