Polluted element,Type of pollution,Georgia_Detroit_2015,Georgia_Springfield_2018,Illinois_Champaign_2015,Illinois_Columbus_2018,Michigan_Chicago_2018,Michigan_Flint_2018,Michigan_Washington_2015
Air,Chemical,50.77,-61.96,-34.11,81.06,-14.60,19.03,-97.20
,Industrial,32.14,-72.45,-47.64,74.29,-21.41,8.31,98.19
,Inorganic Fertilizers,42.88,-64.05,-42.73,78.10,-19.35,14.08,-8.94
,Light,29.32,-88.20,-52.29,57.42,-29.71,-0.77,92.79
Soil,Light,50.88,-59.70,-31.67,86.89,-8.61,20.02,-96.40
,Noise,31.68,-87.36,-48.45,57.45,-29.54,1.32,94.14
,Oxygen-depletion,43.13,-63.91,-36.79,79.37,-18.92,15.60,-98.12
,Solid Waste,40.96,-68.10,-46.77,76.39,-20.37,11.32,99.04
Water,Groundwater,47.81,-62.27,-35.31,76.80,-16.60,17.81,-97.89
,Inferior Irrigation,40.52,-68.88,-43.38,77.91,-19.34,13.42,-8.19
,Noise,56.64,-55.09,-31.29,86.48,-5.81,23.62,-89.13
,Thermal,32.79,-85.70,-47.83,62.07,-23.92,4.79,96.83
