Polluted element,Type of pollution,California_Berkeley_2019,California_Las Vegas_2019,Nevada_Boulder City_2022,Nevada_Malibu_2022,Nevada_Reno_2022
Air,Industrial,-9.97,45.40,62.13,-32.18,6.75
,Surface water,-39.07,60.23,73.20,-23.65,28.70
,Thermal,85.79,50.19,71.82,99.90,20.39
,Urban Activities,-36.46,63.50,-54.47,-14.65,36.24
Soil,Industrial,91.16,62.84,76.88,-15.46,35.40
,Inferior Irrigation,84.18,-78.18,-58.24,99.23,8.84
,Oxygen-depletion,89.86,56.39,-56.11,-26.29,26.70
,Solid Waste,80.08,-85.41,-63.73,-39.82,1.36
Water,Inferior Irrigation,94.71,63.47,-50.34,-9.31,-88.46
,Noise,-44.54,52.76,72.72,-27.22,25.36
,Solid Waste,-37.21,61.99,-53.32,-22.68,-94.35
,Urban Activities,-44.81,49.86,64.39,91.53,6.96
