Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Humidity,High,1.22
2019,Wind,Medium,2.56
2019,Temperature,Low,3.36
2019,Humidity,Storm,4.29
2019,Wind,Breeze,4.32
2019,Temperature,31-40,3.6
2019,Humidity,0-10,6.02
2019,Wind,11-20,2.12
2019,Temperature,High,7.4
2020,Humidity,High,10.21
2020,Wind,Medium,11.01
2020,Temperature,Low,12.08
2020,Humidity,Storm,14.81
2020,Wind,Breeze,14.03
2020,Temperature,31-40,14.56
2020,Humidity,0-10,17.04
2020,Wind,11-20,17.18
2020,Temperature,High,19.97
2018,Humidity,High,20.23
2018,Wind,Medium,21.67
2018,Temperature,Low,22.88
2018,Humidity,Storm,23.04
2018,Wind,Breeze,19.66
2018,Temperature,31-40,25.39
2018,Humidity,0-10,19.96
2018,Wind,11-20,24.04
2018,Temperature,High,22.23
