Polluted element,Type of pollution,Maryland_Baltimore,Maryland_Detroit,Michigan_Aberdeen,Michigan_Columbia,Michigan_Port Huron
Average,,-7.75,-24.21,1.51,-8.24,-1.39
,  ,-7.75,-24.21,1.51,-8.24,-1.39
Air,,27.40,-7.13,34.93,-3.74,-3.33
,  Inferior Irrigation,75.88,-87.01,52.69,-6.02,15.61
,  Light,-54.74,34.87,54.98,92.76,2.72
,  Noise,85.56,-77.19,-59.34,-7.37,-93.13
,  Surface water,-48.80,47.71,64.24,-16.81,30.99
,  Urban Activities,79.08,45.95,62.08,-81.27,27.14
Soil,,-21.36,-85.79,-42.33,-2.41,-1.76
,  Chemical,-43.79,-80.33,67.45,-16.29,30.22
,  Inorganic Fertilizers,-39.61,-76.22,-60.35,-6.09,-92.07
,  Noise,74.21,-94.94,-76.76,-7.09,9.03
,  Oxygen-depletion,-47.18,-82.59,-66.35,47.21,28.54
,  Solid Waste,-50.42,-94.85,-75.65,-29.80,15.50
Water,,-29.29,20.28,11.95,-18.57,0.91
,  Groundwater,-46.22,46.59,-64.55,-17.50,28.53
,  Industrial,79.97,44.99,60.89,-30.68,20.92
,  Inferior Irrigation,-84.05,-75.79,72.71,-2.85,-91.75
,  Inorganic Fertilizers,-53.61,40.47,52.32,-32.84,12.73
,  Light,-42.56,45.12,-61.64,-8.98,34.13
