Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Wind,Storm,0.6
2019,Temperature,Calm,0.14
2019,Humidity,21-30,2.66
2019,Wind,0-10,5.03
2019,Temperature,Low,7.56
2019,Humidity,Medium,8.77
2021,Wind,Storm,9.5
2021,Temperature,Calm,10.19
2021,Humidity,21-30,14.05
2021,Wind,0-10,15.33
2021,Temperature,Low,17.15
2021,Humidity,Medium,18.45
2022,Wind,Storm,19.81
2022,Temperature,Calm,20.22
2022,Humidity,21-30,20.38
2022,Wind,0-10,20.35
2022,Temperature,Low,23.82
2022,Humidity,Medium,26.25
